Frequency (Hz);Amplitude (V);Phase (deg)
31064.98954340682; 8.24553404477e-09; 85.661149767
31065.32153623694; 9.92274322529e-09; 91.0404367769
31065.65352906705; 9.16252066332e-09; 88.972664892
31065.98552189716; 8.61473335834e-09; 85.2679707314
31066.31751472728; 8.41865960506e-09; 97.6780302344
31066.64950755739; 6.4797236511e-09; 83.5460949046
31066.98150038751; 7.34589544129e-09; 90.7352168436
31067.31349321762; 8.21131856843e-09; 86.7288392081
31067.64548604774; 8.74606625211e-09; 86.6798251426
31067.97747887785; 6.95540487529e-09; 82.4072031244
31068.30947170797; 8.77753789118e-09; 83.5455353773
31068.64146453808; 8.5513068233e-09; 89.8243810549
31068.9734573682; 6.91896206767e-09; 82.6761798778
31069.30545019831; 8.04671103658e-09; 95.2278969436
31069.63744302842; 9.56870498627e-09; 83.1764317533
31069.96943585854; 7.14925531954e-09; 82.6692262735
31070.30142868865; 9.26638902152e-09; 87.6855212624
31070.63342151877; 8.82587284894e-09; 91.1199239452
31070.96541434888; 8.12167286761e-09; 85.0801595115
31071.29740717899; 6.84270871221e-09; 97.4566110945
31071.62940000911; 8.89781185522e-09; 96.0651793568
31071.96139283922; 9.29498682589e-09; 99.674144513
31072.29338566934; 8.07154164283e-09; 80.9356950652
31072.62537849945; 8.48830679421e-09; 87.3030290603
31072.95737132957; 8.82792915352e-09; 93.4210962324
31073.28936415968; 7.48962058229e-09; 89.6210653124
31073.6213569898; 8.41075623891e-09; 90.5510531632
31073.95334981991; 8.61294429311e-09; 76.3875709545
31074.28534265003; 7.47087004806e-09; 91.0717721728
31074.61733548014; 7.43070304777e-09; 88.0540383557
31074.94932831025; 9.65015430741e-09; 92.3699492474
31075.28132114037; 7.92277009407e-09; 83.4413858824
31075.61331397048; 8.13491047204e-09; 93.8041355052
31075.9453068006; 9.17305911859e-09; 92.3196799746
31076.27729963071; 9.91096928883e-09; 90.4250417414
31076.60929246083; 9.8386782008e-09; 88.8223816875
31076.94128529094; 1.06320403864e-08; 91.5302958745
31077.27327812105; 8.83274862906e-09; 87.0408272547
31077.60527095117; 7.51728695479e-09; 96.1755048868
31077.93726378128; 8.31489997075e-09; 92.516491292
31078.2692566114; 7.10038721155e-09; 94.2709928407
31078.60124944151; 1.18716757245e-08; 89.576979178
31078.93324227163; 8.8796958189e-09; 93.1737894789
31079.26523510174; 8.42273903362e-09; 88.0867226942
31079.59722793186; 7.87238196263e-09; 96.4702678935
31079.92922076197; 6.93764174717e-09; 84.8502253691
31080.26121359209; 1.0905308521e-08; 86.8343675129
31080.5932064222; 8.79125331963e-09; 82.8941675029
31080.92519925231; 8.40528503497e-09; 82.2828504512
31081.25719208243; 1.02235218975e-08; 94.3478868985
31081.58918491254; 9.90698109763e-09; 90.839035638
31081.92117774266; 8.16652252982e-09; 93.8903487629
31082.25317057277; 7.91486050241e-09; 81.6762742408
31082.58516340289; 7.0637452944e-09; 89.9009585641
31082.917156233; 7.80800537584e-09; 83.2995328463
31083.24914906311; 9.69545136922e-09; 91.6955531738
31083.58114189323; 9.13209853112e-09; 89.1365695757
31083.91313472335; 9.70354667248e-09; 86.8036777471
31084.24512755346; 1.0139607873e-08; 89.3687521732
31084.57712038357; 8.9845728166e-09; 95.7345058769
31084.90911321369; 9.05589881798e-09; 90.6129212842
31085.2411060438; 8.46521643434e-09; 95.200872995
31085.57309887392; 9.60880470392e-09; 88.2018702545
31085.90509170403; 8.07917881515e-09; 87.3881130988
31086.23708453414; 8.51773765573e-09; 90.2144049406
31086.56907736426; 9.00468469848e-09; 95.7456595812
31086.90107019437; 8.49829558726e-09; 87.7879147616
31087.23306302449; 1.0112391593e-08; 76.8293135637
31087.5650558546; 8.50535496749e-09; 79.2120777848
31087.89704868472; 8.01810658553e-09; 83.0250731218
31088.22904151483; 1.1039636184e-08; 90.9042645842
31088.56103434494; 7.45274435714e-09; 92.1576912491
31088.89302717506; 8.54056517053e-09; 85.9716026627
31089.22502000517; 8.72364991766e-09; 82.8197229131
31089.55701283529; 9.36973075097e-09; 89.8383831251
31089.8890056654; 1.0125792526e-08; 95.6080963726
31090.22099849552; 8.44073132353e-09; 86.9369362878
31090.55299132563; 1.02866346347e-08; 81.5979532825
31090.88498415575; 1.03068460756e-08; 92.1455334827
31091.21697698586; 1.060128937e-08; 90.4425099343
31091.54896981598; 9.95130656053e-09; 89.7079056471
31091.88096264609; 9.28490663204e-09; 87.770840232
31092.2129554762; 1.09266252011e-08; 80.7219047751
31092.54494830632; 1.19277284799e-08; 87.9749452156
31092.87694113643; 9.77201095339e-09; 87.5645512039
31093.20893396655; 9.88548997146e-09; 86.5855729702
31093.54092679666; 1.04274304433e-08; 83.4695479414
31093.87291962678; 1.00884648834e-08; 99.8026749919
31094.20491245689; 9.07887317115e-09; 90.9564825592
31094.536905287; 1.08724364973e-08; 91.1321736102
31094.86889811712; 9.9377114244e-09; 77.0749080052
31095.20089094724; 9.06782060727e-09; 86.9152402708
31095.53288377735; 7.73472508964e-09; 88.6452989535
31095.86487660746; 9.90586253464e-09; 85.7317808997
31096.19686943758; 9.23923438854e-09; 94.3774185392
31096.52886226769; 1.14982256804e-08; 88.5462357854
31096.86085509781; 1.02812375055e-08; 91.8466968136
31097.19284792792; 1.1074555261e-08; 86.4193350648
31097.52484075804; 9.39200318541e-09; 82.16115529
31097.85683358815; 1.045703267e-08; 97.4937067846
31098.18882641826; 1.0799223216e-08; 91.2150733873
31098.52081924838; 9.76173916789e-09; 93.7911484209
31098.85281207849; 1.1237799777e-08; 90.7779603248
31099.18480490861; 1.04500580086e-08; 86.546553001
31099.51679773872; 1.11273115878e-08; 88.1326921282
31099.84879056883; 1.0162653828e-08; 91.9952649675
31100.18078339895; 1.06155933507e-08; 98.9091505391
31100.51277622906; 1.11642308748e-08; 94.699636011
31100.84476905918; 1.03799834763e-08; 85.2384039035
31101.17676188929; 1.1127800815e-08; 81.9587072522
31101.50875471941; 9.21658267862e-09; 83.4334351982
31101.84074754952; 1.10206791076e-08; 88.002742378
31102.17274037964; 9.75400165963e-09; 81.7973296223
31102.50473320975; 1.06219756508e-08; 92.0759408713
31102.83672603987; 9.88864183723e-09; 90.5410835057
31103.16871886998; 1.0835823635e-08; 89.0817088681
31103.50071170009; 1.24595079818e-08; 91.0455748184
31103.83270453021; 1.12075891021e-08; 92.9469097653
31104.16469736032; 1.06861577922e-08; 90.5918997332
31104.49669019044; 1.3485180854e-08; 81.8258555037
31104.82868302055; 1.08151496637e-08; 89.9640051192
31105.16067585067; 1.18027951525e-08; 86.3706842261
31105.49266868078; 1.05926069572e-08; 83.3585936674
31105.82466151089; 1.15702746548e-08; 90.5617098386
31106.15665434101; 1.22601115033e-08; 100.833465431
31106.48864717113; 1.00768047963e-08; 92.661626043
31106.82064000124; 1.11100836169e-08; 81.5346093594
31107.15263283135; 1.13967389817e-08; 90.0943959167
31107.48462566147; 1.17398414901e-08; 85.6979362805
31107.81661849158; 1.1943871236e-08; 95.4139352245
31108.1486113217; 1.06172175338e-08; 88.8827457892
31108.48060415181; 1.2323238272e-08; 93.035480384
31108.81259698193; 1.24634314013e-08; 82.0546675874
31109.14458981204; 1.4221353182e-08; 82.1438466644
31109.47658264215; 1.23003730994e-08; 87.3854062924
31109.80857547227; 1.3556705452e-08; 88.3513656997
31110.14056830238; 1.13505724239e-08; 83.9455054713
31110.4725611325; 1.24741973741e-08; 93.3872006342
31110.80455396261; 1.11957076265e-08; 84.6869880841
31111.13654679272; 1.25850134059e-08; 81.082353925
31111.46853962284; 1.13359635592e-08; 94.4850248762
31111.80053245295; 1.11437763723e-08; 84.9254221339
31112.13252528307; 1.39439569402e-08; 91.4186057832
31112.46451811319; 1.41909838661e-08; 86.2653714291
31112.7965109433; 1.23697026744e-08; 91.2445396854
31113.12850377341; 1.33564267049e-08; 86.7113523108
31113.46049660353; 1.44944306184e-08; 86.8480927197
31113.79248943364; 1.26990307122e-08; 84.3200443043
31114.12448226376; 1.17723796363e-08; 84.4488592455
31114.45647509387; 1.09895644035e-08; 84.4411808438
31114.78846792398; 1.18213501917e-08; 89.7885137127
31115.1204607541; 1.14569366582e-08; 78.0340740849
31115.45245358421; 1.23617449635e-08; 84.1146303797
31115.78444641433; 1.21701535493e-08; 84.2675286692
31116.11643924444; 1.4306797178e-08; 87.1091858503
31116.44843207456; 1.35439704196e-08; 91.1346565605
31116.78042490467; 1.25843566668e-08; 90.388611194
31117.11241773478; 1.28925078438e-08; 93.4487300388
31117.4444105649; 1.45849521524e-08; 87.4022944474
31117.77640339502; 1.37176080498e-08; 90.3795312442
31118.10839622513; 1.35443989057e-08; 86.1026805134
31118.44038905524; 1.47785847078e-08; 90.4269894494
31118.77238188536; 1.4592910185e-08; 85.3013838075
31119.10437471547; 1.30441759111e-08; 86.6153595568
31119.43636754559; 1.36494446026e-08; 78.9250660688
31119.7683603757; 1.44779030494e-08; 88.6743516973
31120.10035320582; 1.48125537219e-08; 80.2397704062
31120.43234603593; 1.52307019822e-08; 82.0971461151
31120.76433886604; 1.44947980879e-08; 86.6509969535
31121.09633169616; 1.27453876552e-08; 83.5194641206
31121.42832452627; 1.53611139386e-08; 92.0714959565
31121.76031735639; 1.55388485519e-08; 91.7916650709
31122.0923101865; 1.34276096603e-08; 88.0703293282
31122.42430301662; 1.50900860911e-08; 89.7175259328
31122.75629584673; 1.57121588891e-08; 81.5279504354
31123.08828867684; 1.60388371112e-08; 90.1656972267
31123.42028150696; 1.673822419e-08; 85.2383517657
31123.75227433708; 1.6633668404e-08; 87.5150450595
31124.08426716719; 1.57795370279e-08; 87.3711171554
31124.4162599973; 1.57969361633e-08; 86.8290623944
31124.74825282742; 1.46329605871e-08; 88.9039897344
31125.08024565753; 1.49338514989e-08; 88.4989386445
31125.41223848765; 1.43643325383e-08; 91.739376114
31125.74423131776; 1.65081889821e-08; 83.0469119665
31126.07622414788; 1.49010346323e-08; 93.1865974329
31126.40821697799; 1.66794240883e-08; 85.2607819238
31126.7402098081; 1.54399008427e-08; 86.9747161062
31127.07220263822; 1.67099626381e-08; 94.0191790864
31127.40419546833; 1.68467742323e-08; 84.588201477
31127.73618829845; 1.71861567042e-08; 80.2012927989
31128.06818112856; 1.48253076088e-08; 84.5189563398
31128.40017395867; 1.7844927315e-08; 87.6666246329
31128.73216678879; 1.6761030935e-08; 84.9814435225
31129.06415961891; 1.60177393463e-08; 80.1500496406
31129.39615244902; 1.74410055426e-08; 83.6449044332
31129.72814527913; 1.69351826799e-08; 89.8683845601
31130.06013810925; 1.68012413931e-08; 91.6483943605
31130.39213093936; 1.56476498523e-08; 80.776399782
31130.72412376948; 1.68894549382e-08; 86.8141354393
31131.05611659959; 1.76634141708e-08; 85.8499418819
31131.38810942971; 1.71939586313e-08; 82.3540311015
31131.72010225982; 1.76274973211e-08; 84.3432540141
31132.05209508993; 1.66374844016e-08; 89.6262357518
31132.38408792005; 1.71630711292e-08; 89.0329387829
31132.71608075016; 1.82814553674e-08; 86.3195794848
31133.04807358028; 1.9154826882e-08; 85.0311425407
31133.38006641039; 1.65176862981e-08; 86.280249308
31133.71205924051; 1.92336093714e-08; 85.3358176553
31134.04405207062; 1.96009614069e-08; 87.6068956978
31134.37604490073; 1.85402457958e-08; 83.1726904352
31134.70803773085; 1.96505887294e-08; 88.7610071035
31135.04003056097; 1.97317549192e-08; 83.5871448794
31135.37202339108; 2.00703205168e-08; 91.9917249595
31135.70401622119; 2.03725461065e-08; 83.0973121554
31136.03600905131; 1.88693172193e-08; 85.3056048916
31136.36800188142; 2.23402609535e-08; 86.9649719547
31136.69999471154; 2.09605268848e-08; 84.3476771292
31137.03198754165; 2.1050240058e-08; 83.9570323017
31137.36398037177; 1.90448082724e-08; 89.1366057545
31137.69597320188; 2.02501283941e-08; 87.0406750626
31138.02796603199; 2.01860816871e-08; 85.4491371648
31138.35995886211; 1.99640902128e-08; 82.4985156289
31138.69195169222; 2.05428389106e-08; 86.3328429075
31139.02394452234; 2.17146275012e-08; 84.6627490715
31139.35593735245; 2.13917802636e-08; 81.7383561945
31139.68793018256; 2.12223465574e-08; 83.901995065
31140.01992301268; 2.18815935322e-08; 81.530948908
31140.3519158428; 2.41062804891e-08; 86.0063489972
31140.68390867291; 2.13734454522e-08; 83.5369012478
31141.01590150303; 2.18927126516e-08; 86.3203627373
31141.34789433314; 2.32794941423e-08; 83.1009468275
31141.67988716325; 2.37870346154e-08; 81.7483807821
31142.01187999337; 2.30294247436e-08; 85.7968334325
31142.34387282348; 2.29827941524e-08; 82.9859084553
31142.6758656536; 2.25270954773e-08; 80.0910426468
31143.00785848371; 2.2630773758e-08; 79.4152831586
31143.33985131382; 2.38257033436e-08; 82.9679862291
31143.67184414394; 2.49802125282e-08; 83.85933548
31144.00383697405; 2.45047632086e-08; 78.9712420339
31144.33582980417; 2.49193649234e-08; 77.6641041645
31144.66782263428; 2.48798167889e-08; 84.6275522696
31144.9998154644; 2.60405255726e-08; 81.5527021631
31145.33180829451; 2.63053410517e-08; 84.2051872551
31145.66380112463; 2.42081696063e-08; 87.7560939419
31145.99579395474; 2.71308626708e-08; 86.3177253215
